../QF_BVFP/20170428-Liew-KLEE/aachen_syn_inf_float.x86_64/query.06.smt2,1022,1809,690,523,0.23,0.09,0.25,unsat,0.02,unsat,0.03,unsat,0.02,unsat,0.02,,,,
../QF_BVFP/20170428-Liew-KLEE/aachen_syn_simple2_default.x86_64/query.3.smt2,1076,1838,835,957,0.22,0.05,0.28,unsat,0.05,unsat,0.06,unsat,0.05,unsat,0.05,,,,
../QF_BVFP/20170428-Liew-KLEE/aachen_syn_inf_float.x86_64/query.03.smt2,1022,1809,886,621,0.22,0.05,0.24,unsat,0.04,unsat,0.04,unsat,0.04,unsat,0.01,,,,
../QF_BVFP/20170428-Liew-KLEE/aachen_syn_inf_float.x86_64/query.11.smt2,1114,2087,996,802,0.23,0.05,0.28,unsat,0.04,unsat,0.04,unsat,0.08,unsat,0.06,,,,
../QF_BVFP/20170428-Liew-KLEE/aachen_syn_inf_float.x86_64/query.12.smt2,1152,1977,983,772,0.23,0.03,0.25,unsat,0.05,unsat,0.06,unsat,0.09,unsat,0.09,,,,
../QF_BVFP/20170428-Liew-KLEE/aachen_syn_inf_float.x86_64/query.09.smt2,1111,1889,925,759,0.28,0.04,0.23,unsat,0.04,unsat,0.04,unsat,0.08,unsat,0.05,,,,
../QF_BVFP/20170428-Liew-KLEE/aachen_syn_inf_float.x86_64/query.14.smt2,1180,1969,970,897,0.23,0.03,0.30,unsat,0.04,unsat,0.06,unsat,0.08,unsat,0.09,,,,
../QF_BVFP/20170428-Liew-KLEE/aachen_syn_halve_float-flow.x86_64/query.3.smt2,1169,2341,1208,1205,0.23,0.05,0.32,unsat,0.06,unsat,0.12,unsat,0.07,unsat,0.06,,,,
../QF_BVFP/20170428-Liew-KLEE/aachen_syn_halve_float-flow.x86_64/query.2.smt2,1126,1909,1057,1130,0.23,0.04,0.25,unsat,0.11,unsat,0.13,unsat,0.06,unsat,0.07,,,,
../QF_BVFP/20170428-Liew-KLEE/aachen_syn_inf_float.x86_64/query.16.smt2,1203,2247,1041,940,0.23,0.04,0.29,unsat,0.05,unsat,0.07,unsat,0.11,unsat,0.09,,,,
../QF_BVFP/20170428-Liew-KLEE/aachen_syn_inf_float.x86_64/query.05.smt2,1063,1927,957,664,0.23,0.05,0.28,unsat,0.06,unsat,0.07,unsat,0.04,unsat,0.03,,,,
../QF_BVFP/20170428-Liew-KLEE/imperial_synthetic_sqrt_klee.x86_64/query.07.smt2,2047,4624,1833,2749,0.22,0.03,0.25,unsat,0.11,unsat,0.13,unsat,0.22,unsat,0.24,,,,
../QF_BVFP/20170501-Heizmann-UltimateAutomizer/modulus_true-unreach-call_true-no-overflow.i_TraceCheck_Iteration3.smt2,2517,2762,1830,2785,0.15,0.03,0.27,unsat,0.21,unsat,0.20,unsat,0.15,unsat,0.31,,,,
