./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7897_safety_0.smt2,sat,31.90,sat,9.08,,
./QF_NIA/20170427-VeryMax/SAT14/983.smt2,sat,0.16,sat,130.41,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_46_0.smt2,unsat,23.50,unsat,89.65,,
./QF_NIA/20170427-VeryMax/SAT14/454.smt2,sat,0.05,sat,143.55,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9241_safety_0.smt2,sat,90.31,sat,15.72,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8134_safety_0.smt2,sat,7.02,sat,6.05,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__zeroconf.t2__terminationS_12_0.smt2,unsat,6.06,unsat,8.31,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__DivMinus.jar-obl-11__p28529_terminationG_0.smt2,sat,8.16,sat,167.54,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__pgarch.t2_fixed__terminationS_29_0.smt2,unsat,3.12,unsat,164.30,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2787_safety_0.smt2,sat,67.32,sat,6.32,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22704_safety_0.smt2,sat,59.97,sat,102.31,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__DivTernary.jar-obl-10__terminationS_11_0.smt2,unsat,10.11,unsat,194.35,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateIndexOf.jar-obl-16__term_unfeasibility_4_0.smt2,sat,5.58,sat,1.61,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9293_safety_0.smt2,sat,89.89,sat,42.27,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29842_terminationG_0.smt2,sat,150.71,sat,138.19,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_52_0.smt2,unsat,40.51,unsat,77.89,,
./QF_NIA/20220315-MathProblems/STC_0101.smt2,sat,0.32,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-mirrorInterv.jar-obl-8__terminationS_0_0.smt2,timeout,300.02,unsat,1.16,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5373_safety_0.smt2,sat,2.12,timeout,300,,
./QF_NIA/20220315-MathProblems/STC_0818.smt2,sat,2.89,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2_fixed__p16397_edge_closing_0.smt2,terminate,3.47,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__n-1.t2_fixed__p3795_safety_0.smt2,unsat,2.98,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__whileNestedOffset_rec.jar-obl-9__p14921_safety_0.smt2,unsat,5.00,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__DivTernary2.jar-obl-9__p28634_edge_closing_0.smt2,sat,5.56,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__polyrank4.t2__p7519_terminationG_0.smt2,sat,6.78,timeout,300,,
./QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Choose.c__term_unfeasibility_0_0.smt2,unsat,0.16,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__fun1b.t2__p603_terminationG_0.smt2,terminate,6.99,timeout,300,,
./QF_NIA/20220315-MathProblems/STC_0359.smt2,sat,6.91,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p29391_safety_0.smt2,sat,1.51,sat,1.70,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Et3.jar-obl-9__p28829_terminationG_0.smt2,sat,9.01,timeout,300,,
./QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23447_edge_closing_0.smt2,unsat,11.87,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31582_safety_0.smt2,sat,5.42,sat,1.87,,
./QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Flip.c__p23033_edge_closing_0.smt2,sat,12.08,timeout,300,,
./QF_NIA/20220315-MathProblems/STC_0204.smt2,sat,12.31,timeout,300,,
./QF_NIA/20220315-MathProblems/STC_0938.smt2,sat,3.02,timeout,300,,
./QF_NIA/AProVE/aproveSMT662408820497919527.smt2,unsat,1.32,unsat,40.94,,
./QF_NIA/20170427-VeryMax/SAT14/960.smt2,sat,0.05,sat,6.01,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__small01.t2__p23478_terminationG_0.smt2,timeout,300.03,unsat,10.87,,
./QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GCD.c__p23178_terminationG_0.smt2,sat,2.18,sat,6.37,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__n-16a.t2__p3632_edge_closing_0.smt2,sat,17.69,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__MainFind.jar-obl-10__p10621_edge_closing_0.smt2,sat,14.97,sat,2.13,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4698_safety_0.smt2,sat,2.13,timeout,300,,
./QF_NIA/20170427-VeryMax/SAT14/1183.smt2,sat,0.12,sat,15.13,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__n-6.t2__p4864_edge_closing_0.smt2,sat,0.86,sat,4.41,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8199_safety_0.smt2,sat,1.67,sat,3.11,,
./QF_NIA/20170427-VeryMax/SAT14/1919.smt2,sat,0.04,sat,2.15,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31232_safety_0.smt2,sat,25.85,timeout,300,,
./QF_NIA/AProVE/aproveSMT7705053073037559139.smt2,sat,0.32,sat,5.96,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-collatz.jar-obl-8__p13316_terminationG_0.smt2,unsat,6.76,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6189_safety_0.smt2,sat,264.12,sat,29.71,,
./QF_NIA/AProVE/aproveSMT5485985936216059972.smt2,sat,29.65,timeout,300,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__term_unfeasibility_3_0.smt2,sat,31.76,timeout,300,,
./QF_NIA/20170427-VeryMax/SAT14/899.smt2,sat,0.13,sat,1.96,,
./QF_NIA/AProVE/aproveSMT390431825616874015.smt2,sat,1.22,sat,1.47,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__n-6.t2__p4803_terminationG_0.smt2,sat,0.70,sat,4.11,,
./QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8442_safety_0.smt2,sat,21.11,sat,6.22,,
./QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-new.t2__p21938_terminationG_0.smt2,unsat,89.67,unsat,203.08,,
./QF_NIA/AProVE/aproveSMT7145338241152838632.smt2,sat,4.56,sat,1.45,,
